year,month,nationality,job_type,count
2018,1,菲律賓,製造,118
2018,1,泰國,製造,58
2018,1,越南,製造,666
2018,2,印尼,製造,208
2018,2,菲律賓,製造,116
2018,2,泰國,製造,59
2018,2,越南,製造,663
2018,3,印尼,製造,207
2018,3,菲律賓,製造,115
2018,3,泰國,製造,57
2018,3,越南,製造,650
2018,4,印尼,製造,206
2018,4,菲律賓,製造,116
2018,4,泰國,製造,57
2018,4,越南,製造,658
2018,5,印尼,製造,210
2018,5,菲律賓,製造,117
2018,5,泰國,製造,59
2018,5,越南,製造,656
2018,6,印尼,製造,208
2018,6,菲律賓,製造,117
2018,6,泰國,製造,59
2018,6,越南,製造,663
2018,7,印尼,製造,210
2018,7,菲律賓,製造,117
2018,7,泰國,製造,60
2018,7,越南,製造,688
2018,8,印尼,製造,209
2018,8,菲律賓,製造,119
2018,8,泰國,製造,61
2018,8,越南,製造,697
2018,9,印尼,製造,205
2018,9,菲律賓,製造,114
2018,9,泰國,製造,60
2018,9,越南,製造,711
2018,10,印尼,製造,195
2018,10,菲律賓,製造,114
2018,10,泰國,製造,63
2018,10,越南,製造,719
2018,11,印尼,製造,196
2018,11,菲律賓,製造,111
2018,11,泰國,製造,64
2018,11,越南,製造,719
2018,12,印尼,製造,196
2018,12,菲律賓,製造,111
2018,12,泰國,製造,64
2018,12,越南,製造,736
2019,1,印尼,製造,197
2019,1,菲律賓,製造,111
2019,1,泰國,製造,66
2019,1,越南,製造,728
2019,2,印尼,製造,194
2019,2,菲律賓,製造,109
2019,2,泰國,製造,64
2019,2,越南,製造,728
2019,3,印尼,製造,198
2019,3,菲律賓,製造,109
2019,3,泰國,製造,67
2019,3,越南,製造,731
2019,4,印尼,製造,200
2019,4,菲律賓,製造,106
2019,4,泰國,製造,67
2019,4,越南,製造,727
2019,5,印尼,製造,209
2019,5,菲律賓,製造,104
2019,5,泰國,製造,69
2019,5,越南,製造,737
2019,6,印尼,製造,220
2019,6,菲律賓,製造,104
2019,6,泰國,製造,72
2019,6,越南,製造,743
2019,7,印尼,製造,222
2019,7,菲律賓,製造,101
2019,7,泰國,製造,71
2019,7,越南,製造,738
2019,8,印尼,製造,221
2019,8,菲律賓,製造,101
2019,8,泰國,製造,71
2019,8,越南,製造,722
2019,9,印尼,製造,221
2019,9,菲律賓,製造,65
2019,9,泰國,製造,52
2019,9,越南,製造,673
2019,10,印尼,製造,177
2019,10,菲律賓,製造,64
2019,10,泰國,製造,53
2019,10,越南,製造,661
2019,11,印尼,製造,176
2019,11,菲律賓,製造,66
2019,11,泰國,製造,52
2019,11,越南,製造,665
2019,12,印尼,製造,177
2019,12,菲律賓,製造,65
2019,12,泰國,製造,53
2019,12,越南,製造,675
2020,1,印尼,製造,175
2020,1,菲律賓,製造,66
2020,1,泰國,製造,52
2020,1,越南,製造,667
2020,2,印尼,製造,172
2020,2,菲律賓,製造,66
2020,2,泰國,製造,53
2020,2,越南,製造,664
2020,3,印尼,製造,166
