"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"107年 7月底","臺北市/ 其他",－,－,－,－,－
"107年 8月底","臺北市/ 印尼",56,209,108,28218,309
"107年 8月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 8月底","臺北市/ 菲律賓",11,119,－,5939,245
"107年 8月底","臺北市/ 泰國",－,61,542,66,5
"107年 8月底","臺北市/ 越南",4,697,264,1851,5
"107年 8月底","臺北市/ 蒙古",－,－,－,－,－
"107年 8月底","臺北市/ 其他",－,－,－,－,－
"107年 9月底","臺北市/ 印尼",60,205,116,28406,305
"107年 9月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 9月底","臺北市/ 菲律賓",11,114,－,5962,247
"107年 9月底","臺北市/ 泰國",－,60,512,65,5
"107年 9月底","臺北市/ 越南",4,711,260,1845,5
"107年 9月底","臺北市/ 蒙古",－,－,－,－,－
"107年 9月底","臺北市/ 其他",－,－,－,－,－
"107年 10月底","臺北市/ 印尼",69,195,113,28542,300
"107年 10月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 10月底","臺北市/ 菲律賓",10,114,－,5947,247
"107年 10月底","臺北市/ 泰國",－,63,600,64,6
"107年 10月底","臺北市/ 越南",4,719,285,1850,3
"107年 10月底","臺北市/ 蒙古",－,－,－,－,－
"107年 10月底","臺北市/ 其他",－,－,－,－,－
"107年 11月底","臺北市/ 印尼",68,196,131,28752,304
"107年 11月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 11月底","臺北市/ 菲律賓",9,111,－,5953,245
"107年 11月底","臺北市/ 泰國",－,64,631,63,6
"107年 11月底","臺北市/ 越南",4,719,270,1853,3
"107年 11月底","臺北市/ 蒙古",－,－,－,－,－
"107年 11月底","臺北市/ 其他",－,－,－,－,－
"107年 12月底","臺北市/ 印尼",67,196,144,28802,305
"107年 12月底","臺北市/ 馬來西亞",－,－,－,－,－
"107年 12月底","臺北市/ 菲律賓",11,111,－,5941,244
"107年 12月底","臺北市/ 泰國",－,64,686,59,6
"107年 12月底","臺北市/ 越南",7,736,266,1826,3
"107年 12月底","臺北市/ 蒙古",－,－,－,－,－
"107年 12月底","臺北市/ 其他",－,－,－,－,－
"108年 1月底","臺北市/ 印尼",69,197,142,29000,292
"108年 1月底","臺北市/ 馬來西亞",－,－,－,－,－
