年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
112年3月,松山區,男,374,210,164
112年3月,松山區,女,539,299,240
112年3月,信義區,計,1116,616,500
112年3月,信義區,男,458,262,196
112年3月,信義區,女,658,354,304
112年3月,大安區,計,1114,582,532
112年3月,大安區,男,479,261,218
112年3月,大安區,女,635,321,314
112年3月,中山區,計,1391,770,621
112年3月,中山區,男,573,336,237
112年3月,中山區,女,818,434,384
112年3月,中正區,計,729,418,311
112年3月,中正區,男,333,200,133
112年3月,中正區,女,396,218,178
112年3月,大同區,計,765,423,342
112年3月,大同區,男,337,196,141
112年3月,大同區,女,428,227,201
112年3月,萬華區,計,1395,755,640
112年3月,萬華區,男,599,324,275
112年3月,萬華區,女,796,431,365
112年3月,文山區,計,2201,1198,1003
112年3月,文山區,男,954,513,441
112年3月,文山區,女,1247,685,562
112年3月,南港區,計,1470,1025,445
112年3月,南港區,男,635,451,184
112年3月,南港區,女,835,574,261
112年3月,內湖區,計,2507,1651,856
112年3月,內湖區,男,1068,727,341
112年3月,內湖區,女,1439,924,515
112年3月,士林區,計,1684,958,726
112年3月,士林區,男,725,419,306
112年3月,士林區,女,959,539,420
112年3月,北投區,計,1701,1020,681
112年3月,北投區,男,727,444,283
112年3月,北投區,女,974,576,398
112年4月,總計,計,16998,9933,7065
112年4月,總計,男,7273,4348,2925
112年4月,總計,女,9725,5585,4140
112年4月,松山區,計,911,503,408
112年4月,松山區,男,375,209,166
112年4月,松山區,女,536,294,242
112年4月,信義區,計,1126,625,501
112年4月,信義區,男,461,264,197
112年4月,信義區,女,665,361,304
112年4月,大安區,計,1113,582,531
112年4月,大安區,男,480,262,218
112年4月,大安區,女,633,320,313
112年4月,中山區,計,1384,768,616
112年4月,中山區,男,570,336,234
112年4月,中山區,女,814,432,382
112年4月,中正區,計,735,420,315
112年4月,中正區,男,337,200,137
112年4月,中正區,女,398,220,178
112年4月,大同區,計,766,421,345
112年4月,大同區,男,337,196,141
112年4月,大同區,女,429,225,204
112年4月,萬華區,計,1397,760,637
112年4月,萬華區,男,601,327,274
112年4月,萬華區,女,796,433,363
112年4月,文山區,計,2205,1200,1005
112年4月,文山區,男,960,515,445
112年4月,文山區,女,1245,685,560
112年4月,南港區,計,1467,1024,443
112年4月,南港區,男,631,448,183
112年4月,南港區,女,836,576,260
112年4月,內湖區,計,2517,1659,858
112年4月,內湖區,男,1074,731,343
112年4月,內湖區,女,1443,928,515
112年4月,士林區,計,1682,954,728
112年4月,士林區,男,725,418,307
112年4月,士林區,女,957,536,421
112年4月,北投區,計,1695,1017,678
112年4月,北投區,男,722,442,280
112年4月,北投區,女,973,575,398
112年5月,總計,計,17035,9950,7085
112年5月,總計,男,7285,4355,2930
112年5月,總計,女,9750,5595,4155
112年5月,松山區,計,913,511,402
112年5月,松山區,男,377,212,165
112年5月,松山區,女,536,299,237
112年5月,信義區,計,1132,630,502
112年5月,信義區,男,462,264,198
112年5月,信義區,女,670,366,304
112年5月,大安區,計,1117,583,534
112年5月,大安區,男,482,264,218
112年5月,大安區,女,635,319,316
112年5月,中山區,計,1376,767,609
112年5月,中山區,男,570,338,232
112年5月,中山區,女,806,429,377
112年5月,中正區,計,730,419,311
112年5月,中正區,男,335,199,136
112年5月,中正區,女,395,220,175
112年5月,大同區,計,765,416,349
112年5月,大同區,男,338,195,143
112年5月,大同區,女,427,221,206
112年5月,萬華區,計,1407,763,644
112年5月,萬華區,男,603,326,277
112年5月,萬華區,女,804,437,367
112年5月,文山區,計,2217,1202,1015
112年5月,文山區,男,966,519,447
112年5月,文山區,女,1251,683,568
112年5月,南港區,計,1462,1017,445
112年5月,南港區,男,625,442,183
112年5月,南港區,女,837,575,262
112年5月,內湖區,計,2528,1668,860
112年5月,內湖區,男,1079,737,342
112年5月,內湖區,女,1449,931,518
112年5月,士林區,計,1685,956,729
112年5月,士林區,男,727,419,308
112年5月,士林區,女,958,537,421
112年5月,北投區,計,1703,1018,685
112年5月,北投區,男,721,440,281
112年5月,北投區,女,982,578,404
112年6月,總計,計,17031,9922,7109
112年6月,總計,男,7274,4338,2936
112年6月,總計,女,9757,5584,4173
112年6月,松山區,計,904,504,400
112年6月,松山區,男,374,211,163
112年6月,松山區,女,530,293,237
112年6月,信義區,計,1125,621,504
112年6月,信義區,男,460,262,198
112年6月,信義區,女,665,359,306
112年6月,大安區,計,1115,582,533
112年6月,大安區,男,482,265,217
112年6月,大安區,女,633,317,316
112年6月,中山區,計,1379,769,610
112年6月,中山區,男,566,336,230
112年6月,中山區,女,813,433,380
112年6月,中正區,計,724,413,311
112年6月,中正區,男,331,197,134
112年6月,中正區,女,393,216,177
112年6月,大同區,計,761,414,347
112年6月,大同區,男,334,193,141
112年6月,大同區,女,427,221,206
112年6月,萬華區,計,1415,759,656
112年6月,萬華區,男,599,322,277
112年6月,萬華區,女,816,437,379
112年6月,文山區,計,2219,1201,1018
112年6月,文山區,男,969,519,450
112年6月,文山區,女,1250,682,568
112年6月,南港區,計,1472,1018,454
112年6月,南港區,男,630,442,188
112年6月,南港區,女,842,576,266
112年6月,內湖區,計,2523,1665,858
112年6月,內湖區,男,1077,734,343
112年6月,內湖區,女,1446,931,515
112年6月,士林區,計,1697,957,740
112年6月,士林區,男,735,418,317
112年6月,士林區,女,962,539,423
112年6月,北投區,計,1697,1019,678
112年6月,北投區,男,717,439,278
112年6月,北投區,女,980,580,400
112年7月,總計,計,17038,9915,7123
112年7月,總計,男,7277,4331,2946
112年7月,總計,女,9761,5584,4177
112年7月,松山區,計,902,504,398
112年7月,松山區,男,373,210,163
112年7月,松山區,女,529,294,235
112年7月,信義區,計,1120,617,503
112年7月,信義區,男,457,260,197
112年7月,信義區,女,663,357,306
112年7月,大安區,計,1117,583,534
112年7月,大安區,男,484,266,218
112年7月,大安區,女,633,317,316
112年7月,中山區,計,1382,771,611
112年7月,中山區,男,568,336,232
112年7月,中山區,女,814,435,379
112年7月,中正區,計,723,408,315
112年7月,中正區,男,333,196,137
112年7月,中正區,女,390,212,178
112年7月,大同區,計,760,409,351
112年7月,大同區,男,329,187,142
112年7月,大同區,女,431,222,209
112年7月,萬華區,計,1423,757,666
112年7月,萬華區,男,605,324,281
112年7月,萬華區,女,818,433,385
112年7月,文山區,計,2221,1203,1018
112年7月,文山區,男,972,521,451
112年7月,文山區,女,1249,682,567
112年7月,南港區,計,1474,1024,450
112年7月,南港區,男,633,446,187
112年7月,南港區,女,841,578,263
112年7月,內湖區,計,2518,1661,857
112年7月,內湖區,男,1071,729,342
112年7月,內湖區,女,1447,932,515
112年7月,士林區,計,1692,955,737
112年7月,士林區,男,731,416,315
112年7月,士林區,女,961,539,422
112年7月,北投區,計,1706,1023,683
112年7月,北投區,男,721,440,281
112年7月,北投區,女,985,583,402
112年8月,總計,計,17058,9938,7120
112年8月,總計,男,7304,4349,2955
112年8月,總計,女,9754,5589,4165
112年8月,松山區,計,899,503,396
112年8月,松山區,男,373,208,165
112年8月,松山區,女,526,295,231
112年8月,信義區,計,1121,618,503
112年8月,信義區,男,461,261,200
112年8月,信義區,女,660,357,303
112年8月,大安區,計,1129,592,537
112年8月,大安區,男,489,270,219
112年8月,大安區,女,640,322,318
112年8月,中山區,計,1382,776,606
112年8月,中山區,男,571,341,230
112年8月,中山區,女,811,435,376
112年8月,中正區,計,720,406,314
112年8月,中正區,男,333,197,136
112年8月,中正區,女,387,209,178
112年8月,大同區,計,773,414,359
112年8月,大同區,男,341,193,148
112年8月,大同區,女,432,221,211
112年8月,萬華區,計,1427,762,665
112年8月,萬華區,男,605,324,281
112年8月,萬華區,女,822,438,384
112年8月,文山區,計,2224,1207,1017
112年8月,文山區,男,974,524,450
112年8月,文山區,女,1250,683,567
112年8月,南港區,計,1473,1020,453
112年8月,南港區,男,632,443,189
112年8月,南港區,女,841,577,264
112年8月,內湖區,計,2511,1662,849
112年8月,內湖區,男,1068,730,338
112年8月,內湖區,女,1443,932,511
