name,district,address,category,location_desc
新北市三峽區有木國民小學,三峽區,新北市三峽區有木里131號,學校、大型集會場所,有木國小行政辦公室前
新北市立插角森林實驗小學,三峽區,新北市三峽區插角里39號,學校、大型集會場所,電腦教室門口
新北市政府警察局三峽分局五寮派出所,三峽區,新北市三峽區五寮路154號,其他,派出所一樓
新北市三峽區五寮國民小學,三峽區,新北市三峽區五寮里69號,學校、大型集會場所,五寮國小警衛室
新北市立插角森林實驗小學金敏分校,三峽區,新北市三峽區金敏路66號,學校、大型集會場所,一樓辦公室
新北市立明德高級中學,三峽區,新北市三峽區中正路二段399號,學校、大型集會場所,擎藝樓健康中心門口
新北市三峽區大成國民小學,三峽區,新北市三峽區成福路251巷2號,學校、大型集會場所,校門口警衛室
新北市客家文化園區,三峽區,新北市三峽區隆恩街239號,觀光旅遊地區,園樓服務台旁
福華電子股份有限公司,三峽區,新北市三峽區中正路一段393號,其他,醫務室外
新北市三峽區安溪國民小學,三峽區,新北市三峽區中華路42號,學校、大型集會場所,1樓 播音室走廊牆壁上
新北市立八里愛心教養院三峽日間托育中心,三峽區,新北市三峽區新北市三峽區光明路71號7樓,其他,辦公室入口內左側
新北市立圖書館三峽分館,三峽區,新北市三峽區永安街9巷5號2樓,大型休閒場所,三峽分館地方文獻專區
鴻欣護理之家,三峽區,新北市三峽區三樹路168巷48號,其他,鴻欣護理之家
新北市立北大高級中學,三峽區,新北市三峽區大義路277號,學校、大型集會場所,北大高中行政大樓-健康中心前
花岩休閒有限公司,三峽區,新北市三峽區添福里143-28號,其他,門口旁
偉勝乾燥工業股份有限公司,三峽區,新北市三峽區白雞路62-3號,其他,本公司1樓大廳
國家教育研究院,三峽區,新北市三峽區三樹路2號,學校、大型集會場所,良師園1樓
臺北大學運動中心三峽校區,三峽區,新北市三峽區大學路151號(台北大學運動中心),學校、大型集會場所,本館大廳一樓
臺北大學運動中心三峽校區,三峽區,新北市三峽區大學路151號(台北大學運動中心),學校、大型集會場所,本場館B1游泳池
